ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City,Full Address,"Lat, Lng",lat,lng
20K247 ,K,2,K247,P.S. 247 BROOKLYN,Elementary,1,20,20,7000 21 AVENUE,NY,11204,Christopher E. Ogno,718-236-4205,718-331-8563,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"7000 21 AVENUE,NY","???, ???",40.6122494,-73.9872188
22K251 ,K,2,K251,P.S. 251 PAEDERGAT,Elementary,1,22,22,1037 EAST  54 STREET,NY,11234,STEVEN BOYER,718-251-4110,718-241-3200,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1037 EAST  54 STREET,NY","???, ???",40.6313307,-73.9238402
22K255 ,K,2,K255,P.S. 255 BARBARA REING SCHOOL,Elementary,1,22,22,1866 EAST  17 STREET,NY,11229,Linda L. Singer,718-376-8494,718-627-0626,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1866 EAST  17 STREET,NY","???, ???",40.6044665,-73.9560036
18K268 ,K,2,K268,P.S. 268 EMMA LAZARUS,Elementary,1,18,18,133 EAST  53 STREET,NY,11203,Vangela Kirton,718-773-5332,718-493-7448,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"133 EAST  53 STREET,NY","???, ???",40.7584069,-73.9710402
18K276 ,K,2,K276,P.S. 276 LOUIS MARSHALL,Elementary,1,18,18,1070 EAST  83 STREET,NY,11236,Yasmine Fidelia,718-241-5757,718-241-5560,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1070 EAST  83 STREET,NY","???, ???",40.7725474,-73.9452002
18K279 ,K,2,K279,P.S. 279 HERMAN SCHREIBER,Elementary,1,18,18,1070 EAST 104 STREET,NY,11236,LORENZO CHAMBERS,718-444-4316,718-241-5581,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"1070 EAST 104 STREET,NY","???, ???",40.6440444,-73.8927372
21K281 ,K,2,K281,I.S. 281 JOSEPH B CAVALLARO,Junior High-Intermediate-Middle,1,21,21,8787 24 AVENUE,NY,11214,STEPHEN ROSENBLUM,718-996-6706,718-996-4186,"06,07,08,SE",BROOKLYN,"8787 24 AVENUE,NY","???, ???",40.5944454,-73.9938189
21K288 ,K,2,K288,P.S. 288 THE SHIRLEY TANYHILL,K-8,1,21,21,2950 WEST  25 STREET,NY,11224,Joelene-Lynette Kinard,718-449-8000,718-449-7682,"PK,0K,01,02,03,04,05,06,07,08,SE",BROOKLYN,"2950 WEST  25 STREET,NY","???, ???",40.5742699,-73.9924766
21K329 ,K,2,K329,P.S. 329 SURFSIDE,Elementary,1,21,21,2929 WEST  30 STREET,NY,11224,SALEMA MARBURY,718-996-3800,718-265-1525,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"2929 WEST  30 STREET,NY","???, ???",40.5748389,-73.9958066
75K370 ,K,2,K370,P.S. 370,K-12 all grades,1,21,75,3000 WEST 1 STREET,NY,11224,SUSAN GOLDBERG,718-372-3777,718-449-4082,"0K,01,02,03,04,05,07,08,09,10,11,12,SE",BROOKLYN,"3000 WEST 1 STREET,NY","???, ???",40.5862329,-73.9703775
22K381 ,K,2,K381,I. S. 381,Junior High-Intermediate-Middle,1,22,22,1599 EAST  22 STREET,NY,11210,MARY HARRINGTON,718-252-0058,718-252-0035,"06,07,08,SE",BROOKLYN,"1599 EAST  22 STREET,NY","???, ???",40.6125713,-73.9515546
17K398 ,K,2,K398,P.S. 398 WALTER WEAVER,Elementary,1,17,17,60 EAST  94 STREET,NY,11212,Diane Danay-Caban,718-774-4466,718-467-4018,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"60 EAST  94 STREET,NY","???, ???",40.7856601,-73.954493
14K404 ,K,2,K404,ACADEMY FOR YOUNG WRITERS,High school,1,14,14,183 SOUTH  3 STREET,NY,11211,Courtney Winkfield,718-388-1194,718-388-3380,"09,10,11,12,SE",BROOKLYN,"183 SOUTH  3 STREET,NY","???, ???",40.7118634,-73.9600489
20K445 ,K,2,K445,NEW UTRECHT HIGH SCHOOL,High school,1,20,20,1601 80 STREET,NY,11214,MAUREEN GOLDFARB,718-232-2500,718-259-5526,"09,10,11,12,SE",BROOKLYN,"1601 80 STREET,NY","???, ???",40.6130317,-74.0021576
14K488 ,K,2,K488,BROOKLYN PREPARATORY HIGH SCHOOL,High school,1,14,14,257 NORTH  6 STREET,NY,11211,Noah Lansner,718-486-2550,718-486-2505,"09,10,11,12,SE",BROOKLYN,"257 NORTH  6 STREET,NY","???, ???",40.7156299,-73.9550136
20K503 ,K,2,K503,PS 503: THE SCHOOL OF DISCOVERY,Elementary,1,20,20,330 59 STREET,NY,11220,BERNADETTE FITZGERALD,718-439-5962,718-439-0948,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"330 59 STREET,NY","???, ???",40.7598284,-73.9630748
20K505 ,K,2,K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,High school,1,20,20,5800 20 AVENUE,NY,11204,Steven Demarco,718-621-8800,718-232-9513,"09,10,11,12,SE",BROOKLYN,"5800 20 AVENUE,NY","???, ???",40.6213242,-73.9825025
20K506 ,K,2,K506,P.S. 506: SCHOOL OF JOURNALISM & TECHNOLOGY,Elementary,1,20,20,330 59 STREET,NY,11220,ELIZABETH WATERS,718-492-0087,NULL,"PK,0K,01,02,03,04,05,SE",BROOKLYN,"330 59 STREET,NY","???, ???",40.7598284,-73.9630748
14K558 ,K,2,K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESI,High school,1,14,14,257 NORTH  6 STREET,NY,11211,GILL CORNELL,718-388-1260,718-486-2580,"09,10,11,12,SE",BROOKLYN,"257 NORTH  6 STREET,NY","???, ???",40.7156299,-73.9550136
14K561 ,K,2,K561,WILLIAMSBURG PREPARATORY SCHOOL,High school,1,14,14,257 NORTH  6 STREET,NY,11211,Michael Shadrick,718-302-2306,718-302-3726,"09,10,11,12,SE",BROOKLYN,"257 NORTH  6 STREET,NY","???, ???",40.7156299,-73.9550136
14K577 ,K,2,K577,CONSELYEA PREPARATORY SCHOOL,Junior High-Intermediate-Middle,1,14,14,208 NORTH  5 STREET,NY,11211,MARIA MASULLO,718-486-6211,718-486-6771,"06,07,08,SE",BROOKLYN,"208 NORTH  5 STREET,NY","???, ???",40.7152742,-73.957057
20K609 ,K,2,K609,URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,Junior High-Intermediate-Middle,1,20,20,4200 16 AVENUE,NY,11204,MARIELA GRAHAM,718-438-3893,718-438-3527,"06,07,08,09,SE",BROOKLYN,"4200 16 AVENUE,NY","???, ???",40.6349573,-73.9822565
18K635 ,K,2,K635,OLYMPUS ACADEMY,High school,1,18,18,755 EAST  100 STREET,NY,11236,SETH SCHOENFELD,718-272-1926,718-272-5713,"09,10,11,12,SE",BROOKLYN,"755 EAST  100 STREET,NY","???, ???",40.7851069,-73.9411219
06M004 ,M,1,M004,P.S. 004 DUKE ELLINGTON,Elementary,1,6,6,500 WEST 160 STREET,NY,10032,DELOIS WHITE,212-928-0739,212-928-2532,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"500 WEST 160 STREET,NY","???, ???",40.8348474,-73.9412036
02M006 ,M,1,M006,P.S. 006 LILLIE D. BLAKE,Elementary,1,2,2,45 EAST  81 STREET,NY,10028,LAUREN FONTANA,212-737-9774,212-772-8669,"0K,01,02,03,04,05,SE",MANHATTAN,"45 EAST  81 STREET,NY","???, ???",40.777703,-73.9604282
04M007 ,M,1,M007,P.S. 007 SAMUEL STERN,K-8,1,4,4,160 EAST 120 STREET,NY,10035,RACQUEL JONES,212-860-5827,212-860-6070,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"160 EAST 120 STREET,NY","???, ???",40.8006309,-73.9393226
06M008 ,M,1,M008,P.S. 008 LUIS BELLIARD,Elementary,1,6,6,465 WEST 167 STREET,NY,10032,RAFAELA LANDIN,212-928-4364,212-928-4072,"0K,01,02,03,04,05,SE",MANHATTAN,"465 WEST 167 STREET,NY","???, ???",40.8393844,-73.9367835
03M009 ,M,1,M009,P.S. 009 SARAH ANDERSON,Elementary,1,3,3,100 WEST  84 STREET,NY,10024,DIANE BRADY,212-678-2812,212-873-4681,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"100 WEST  84 STREET,NY","???, ???",40.785101,-73.9738667
02M011 ,M,1,M011,P.S. 011 WILLIAM T. HARRIS,Elementary,1,2,2,320 WEST  21 STREET,NY,10011,ROBERT BENDER,212-929-1743,212-989-7816,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"320 WEST  21 STREET,NY","???, ???",40.7445487,-74.0007372
04M012 ,M,1,M012,TAG YOUNG SCHOLARS,K-8,1,4,4,240 EAST 109 STREET,NY,10029,JANETTE CESAR,212-860-6003,212-831-1842,"0K,01,02,03,04,05,06,07,08",MANHATTAN,"240 EAST 109 STREET,NY","???, ???",40.7925899,-73.9421187
01M015 ,M,1,M015,P.S. 015 ROBERTO CLEMENTE,Elementary,1,1,1,333 EAST  4 STREET,NY,10009,IRENE SANCHEZ,212-228-8730,212-477-0931,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"333 EAST  4 STREET,NY","???, ???",40.7218342,-73.9787655
06M028 ,M,1,M028,P.S. 028 WRIGHT BROTHERS,Elementary,1,6,6,475 WEST 155 STREET,NY,10032,ELSA NUNEZ,212-690-3014,212-368-5978,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"475 WEST 155 STREET,NY","???, ???",40.8316548,-73.9420791
01M034 ,M,1,M034,P.S. 034 FRANKLIN D. ROOSEVELT,K-8,1,1,1,730 EAST  12 STREET,NY,10009,JOYCE STALLINGS HARTE,212-228-4433,212-353-1973,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"730 EAST  12 STREET,NY","???, ???",40.7261465,-73.9750432
04M037 ,M,1,M037,RIVER EAST ELEMENTARY,Elementary,1,4,4,508 EAST 120 STREET,NY,10035,Alison McKenzie,212-348-2208,212-289-9231,"0K,01,02,03,04,05,SE",MANHATTAN,"508 EAST 120 STREET,NY","???, ???",40.7969061,-73.9299784
04M038 ,M,1,M038,P.S. 38 ROBERTO CLEMENTE,Elementary,1,4,4,232 EAST 103 STREET,NY,10029,NORMA CARABALLO,212-860-5882,212-860-6093,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"232 EAST 103 STREET,NY","???, ???",40.7886837,-73.9447655
02M040 ,M,1,M040,P.S. 040 AUGUSTUS SAINT-GAUDENS,Elementary,1,2,2,319 EAST 19 STREET,NY,10003,SUSAN FELDER,212-475-5500,212-533-5388,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"319 EAST 19 STREET,NY","???, ???",40.735118,-73.9816969
02M041 ,M,1,M041,P.S. 041 GREENWICH VILLAGE,Elementary,1,2,2,116 WEST  11 STREET,NY,10011,KELLY SHANNON,212-675-2756,212-924-0910,"0K,01,02,03,04,05,SE",MANHATTAN,"116 WEST  11 STREET,NY","???, ???",40.7355263,-73.9991134
05M046 ,M,1,M046,P.S. 046 ARTHUR TAPPAN,Elementary,1,5,5,2987 FREDERICK DGLS BLVD,NY,10039,GEORGE YOUNG,212-690-5911,212-690-5913,"PK,0K,01,02,03,04,05,06,07,SE",MANHATTAN,"2987 FREDERICK DGLS BLVD,NY","???, ???",40.8314958,-73.9361544
02M047 ,M,1,M047,47 THE AMERICAN SIGN LANGUAGE AND ENGLISH DUAL LAN,Secondary School,1,2,2,223 EAST 23 STREET,NY,10010,Watfa A. Shama,917-326-6668,917-326-6688,"09,10,11,12,SE",MANHATTAN,"223 EAST 23 STREET,NY","???, ???",40.738621,-73.9815344
04M050 ,M,1,M050,P.S. 050 VITO MARCANTONIO,K-8,1,4,4,433 EAST 100 STREET,NY,10029,Cynthia Rochez,212-860-5976,212-860-6071,"0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"433 EAST 100 STREET,NY","???, ???",40.7858681,-73.9405871
03M054 ,M,1,M054,J.H.S. 054 BOOKER T. WASHINGTON,Junior High-Intermediate-Middle,1,3,3,103 WEST 107 STREET,NY,10025,ELANA ELSTER,212-678-2861,212-316-0883,"06,07,08,SE",MANHATTAN,"103 WEST 107 STREET,NY","???, ???",40.8005115,-73.962802
04M057 ,M,1,M057,JAMES WELDON JOHNSON,K-8,1,4,4,176 EAST 115 STREET,NY,10029,ISRAEL SOTO,212-860-5812,212-860-6072,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"176 EAST 115 STREET,NY","???, ???",40.7971563,-73.9412854
01M063 ,M,1,M063,P.S. 063 WILLIAM MCKINLEY,Elementary,1,1,1,121 EAST  3 STREET,NY,10009,DARLENE DESPEIGNES,212-674-3180,212-420-9018,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"121 EAST  3 STREET,NY","???, ???",40.7244039,-73.9863598
01M064 ,M,1,M064,P.S. 064 ROBERT SIMON,Elementary,1,1,1,600 EAST  6 STREET,NY,10009,Marlon L. Hosang,212-673-6510,212-477-2369,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"600 EAST  6 STREET,NY","???, ???",40.7237469,-73.9816019
04M072 ,M,1,M072,P.S. 072,Elementary,1,4,4,131 EAST 104 STREET,NY,10029,Antonio Hernandez,212-860-5831,212-860-6094,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"131 EAST 104 STREET,NY","???, ???",40.7914507,-73.9474485
03M076 ,M,1,M076,P.S. 076 A. PHILIP RANDOLPH,Elementary,1,3,3,220 WEST 121 STREET,NY,10027,CHARLES DEBERRY,212-678-2865,212-678-2867,"PK,0K,01,02,03,04,05,06,07,SE",MANHATTAN,"220 WEST 121 STREET,NY","???, ???",40.8065406,-73.9513684
75M079 ,M,1,M079,P.S. M079 - HORAN SCHOOL,Secondary School,1,5,75,55 EAST 120 STREET,NY,10035,Greer Phillips,212-369-3134,212-996-8307,"05,06,07,08,09,10,11,12,SE",MANHATTAN,"55 EAST 120 STREET,NY","???, ???",40.8025088,-73.9423705
04M083 ,M,1,M083,P.S. 083 LUIS MUNOZ RIVERA,Elementary,1,4,4,219 EAST 109 STREET,NY,10029,FRANCES CASTILLO,212-860-5847,212-860-6073,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"219 EAST 109 STREET,NY","???, ???",40.7931298,-73.9418125
03M084 ,M,1,M084,P.S. 084 LILLIAN WEBER,Elementary,1,3,3,32 WEST  92 STREET,NY,10025,ROBIN SUNDICK,212-799-2534,212-501-9071,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"32 WEST  92 STREET,NY","???, ???",40.7893822,-73.9680996
03M087 ,M,1,M087,P.S. 087 WILLIAM SHERMAN,Elementary,1,3,3,160 WEST  78 STREET,NY,10024,MONICA BERRY,212-678-2826,212-678-5886,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"160 WEST  78 STREET,NY","???, ???",40.781788,-73.9780085
05M092 ,M,1,M092,P.S. 092 MARY MCLEOD BETHUNE,Elementary,1,5,5,222 WEST 134 STREET,NY,10030,ROSA DAVILA,212-690-5915,212-690-5920,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"222 WEST 134 STREET,NY","???, ???",40.814949,-73.9458079
04M096 ,M,1,M096,P.S. 096 JOSEPH LANZETTA,K-8,1,4,4,216 EAST 120 STREET,NY,10035,NOEL RIOS,212-860-5851,212-860-6074,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"216 EAST 120 STREET,NY","???, ???",40.799987,-73.9373878
06M098 ,M,1,M098,P.S. 098 SHORAC KAPPOCK,Elementary,1,6,6,512 WEST 212 STREET,NY,10034,MARITZA RODRIGUEZ,212-927-7870,212-569-1827,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"512 WEST 212 STREET,NY","???, ???",40.8678226,-73.917818
04M102 ,M,1,M102,P.S. 102 JACQUES CARTIER,Elementary,1,4,4,315 EAST 113 STREET,NY,10029,SANDRA GITTENS,212-860-5834,212-860-6076,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"315 EAST 113 STREET,NY","???, ???",40.7949503,-73.9382952
02M104 ,M,1,M104,J.H.S. 104 SIMON BARUCH,Junior High-Intermediate-Middle,1,2,2,330 EAST  21 STREET,NY,10010,ROSEMARIE GAETANI,212-674-4545,212-477-2205,"06,07,08,SE",MANHATTAN,"330 EAST  21 STREET,NY","???, ???",40.7358955,-73.9804238
01M110 ,M,1,M110,P.S. 110 FLORENCE NIGHTINGALE,Elementary,1,1,1,285 DELANCY STREET,NY,10002,KAREN FEUER,212-674-2690,212-475-5835,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"285 DELANCY STREET,NY","???, ???",40.7156819,-73.980059
02M111 ,M,1,M111,P.S. 111 ADOLPH S. OCHS,K-8,1,2,2,440 WEST  53 STREET,NY,10019,IRMA MEDINA,212-582-7420,212-245-7236,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"440 WEST  53 STREET,NY","???, ???",40.7658339,-73.9896022
04M112 ,M,1,M112,P.S. 112 JOSE CELSO BARBOSA,Early Childhood,1,4,4,535 EAST 119 STREET,NY,10035,EILEEN REITER,212-860-5868,212-860-6077,"PK,0K,01,02,SE",MANHATTAN,"535 EAST 119 STREET,NY","???, ???",40.7964942,-73.9300386
06M115 ,M,1,M115,P.S. 115 ALEXANDER HUMBOLDT,Elementary,1,6,6,586 WEST 177 STREET,NY,10033,ANGELA RODRIGUEZ,212-927-9233,212-795-4051,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"586 WEST 177 STREET,NY","???, ???",40.8461336,-73.9351439
05M123 ,M,1,M123,P.S. 123 MAHALIA JACKSON,K-8,1,5,5,301 WEST 140 STREET,NY,10030,BEVERLY LEWIS,212-690-5925,212-690-5930,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"301 WEST 140 STREET,NY","???, ???",40.820192,-73.9444568
05M125 ,M,1,M125,P.S. 125 RALPH BUNCHE,Elementary,1,5,5,425 WEST 123 STREET,NY,10027,RAFAELA ESPINAL PACHECO,212-666-6400,212-749-1291,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"425 WEST 123 STREET,NY","???, ???",40.8106401,-73.9558474
06M128 ,M,1,M128,P.S. 128 AUDUBON,Elementary,1,6,6,560 WEST 169 STREET,NY,10032,Rosa Argelia Arredondo,212-927-0607,212-781-8002,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"560 WEST 169 STREET,NY","???, ???",40.8410469,-73.9387515
05M129 ,M,1,M129,P.S. 129 JOHN H. FINLEY,K-8,1,5,5,425 WEST 130 STREET,NY,10027,ODELPHIA PIERRE,212-690-5932,212-690-5934,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"425 WEST 130 STREET,NY","???, ???",40.8149807,-73.9521208
03M145 ,M,1,M145,"P.S. 145, THE BLOOMINGDALE SCHOOL",Elementary,1,3,3,150 WEST 105 STREET,NY,10025,IVELISSE ALVAREZ,212-678-2857,212-222-4610,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"150 WEST 105 STREET,NY","???, ???",40.79909,-73.9653593
04M146 ,M,1,M146,P.S. 146 ANN M. SHORT,Elementary,1,4,4,421 EAST 106 STREET,NY,10029,MONA SILFEN,212-860-5877,212-860-6078,"PK,0K,01,02,03,04,05,SE",MANHATTAN,"421 EAST 106 STREET,NY","???, ???",40.7896995,-73.9390935
03M149 ,M,1,M149,P.S. 149 SOJOURNER TRUTH,K-8,1,3,3,41 WEST 117 STREET,NY,10026,Kayrol Burgess Harper,646-672-9020,646-672-9302,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN,"41 WEST 117 STREET,NY","???, ???",40.8026661,-73.9482563
